id,BHS27,BHS29,BHS33,BHS36,BHS40,BHS42,BHS53,BHS58,BIS1,BIS12,BIS2,BIS56,BIS59,BIS72,BIS9,ELK16,ELK17,ELK24,ELK48,ELK49,ELK54,ELK75,BLA20220921.D,BLA20220921.E,NEG20220928.ban,NEG20220928.sa,POS20220928.ban,POS20220928.sa
P49,23,1,0,0,0,2,0,0,17,1,0,1,2,3,19,0,31,0,0,1,1,0,0,1590,0,0,0,1
P50,0,0,0,0,0,0,36,0,422,0,0,0,1,78,87,0,5,0,764,0,218,0,0,0,0,0,0,0
P51,57,9,15,623,2,19,25,19,18,0,40,59,71,382,13,0,17,31,29,129,21,0,0,0,0,0,0,0
P52,17,0,117,83,151,53,912,43,2,9,8,3,7,7,3,0,9,0,13,103,13,8,0,0,0,0,0,0
P53,14,30,3,88,0,0,0,10,236,52,30,1,3,800,80,56,78,25,1,28,0,5,0,0,0,0,0,0
P54,359,2,1,19,166,119,7,1,15,1,5,103,98,51,0,0,0,1,0,1,0,456,0,0,0,0,0,0
P55,62,16,14,76,20,46,18,8,544,61,44,0,1,193,194,21,30,14,15,0,9,0,0,0,0,0,0,1
P56,0,138,227,0,0,0,31,0,38,55,767,0,0,0,0,0,0,48,51,0,8,0,0,0,0,0,0,0
P57,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P58,162,0,0,28,48,294,313,2,0,0,0,143,43,15,0,0,0,0,0,0,1,43,0,0,0,0,0,0
P59,0,10,106,101,17,0,396,21,0,0,0,0,0,238,0,0,0,1,31,165,2,0,0,0,0,0,0,0
P60,68,0,0,0,134,838,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
P61,200,2,13,116,38,20,37,1,43,0,19,213,138,25,0,36,0,6,19,47,2,66,0,0,0,0,0,0
P62,0,0,0,24,0,14,16,8,71,0,0,0,22,172,149,0,522,0,0,24,1,1,0,0,0,0,0,0
P63,0,0,0,0,0,0,0,0,835,0,0,0,0,0,97,0,64,0,0,0,0,0,0,0,0,0,0,0
P64,0,0,0,0,0,4,590,0,0,0,0,125,167,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0
P65,23,5,10,332,3,9,17,7,15,3,26,36,39,263,18,0,9,15,20,90,7,0,0,0,0,0,0,0
P66,0,0,0,0,91,528,0,0,21,0,0,73,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P67,0,83,8,56,11,78,13,8,31,52,0,16,32,66,95,53,0,39,164,22,0,106,0,0,0,0,0,0
P68,70,0,3,304,83,42,51,16,0,59,0,0,0,40,0,3,0,1,218,0,11,12,0,0,0,0,0,0
P69,191,0,0,54,0,0,26,34,61,0,0,15,490,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1
P70,14,0,0,3,125,140,6,0,2,1,0,5,1,27,0,0,0,0,12,29,1,527,0,0,0,0,0,0
P71,0,15,90,16,0,0,135,19,22,0,0,0,0,348,0,10,0,3,47,148,0,0,0,0,0,0,0,0
P72,70,0,0,0,7,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0
P73,129,5,43,3,3,0,81,5,65,0,12,100,57,6,29,1,63,8,4,225,2,0,0,0,0,0,0,0
P74,162,15,0,59,6,29,0,0,83,0,76,25,67,38,0,9,0,0,12,9,20,163,0,0,0,0,0,0
P75,0,0,18,697,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
P76,168,0,97,162,91,7,11,11,0,0,0,31,45,0,0,5,0,0,0,92,0,29,0,0,0,0,0,0
P77,0,6,10,0,0,0,0,0,138,0,9,0,0,153,3,0,293,24,0,64,0,0,0,0,0,0,0,0
P78,0,0,0,0,0,0,0,201,0,0,0,0,0,16,0,0,0,9,0,456,13,0,0,0,0,0,0,0
P79,0,18,0,218,0,0,131,0,0,0,296,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
P80,67,0,0,10,296,24,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0
P81,3,55,0,10,0,1,1,2,58,67,46,2,0,98,72,133,23,24,0,44,0,0,1,0,0,0,0,0
P82,0,0,2,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,42,64,0,0,0,0,0,0,0,0
P83,186,0,17,349,8,0,0,28,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P84,400,0,0,0,99,49,7,2,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P85,44,18,19,0,0,0,0,10,109,333,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,1
P86,0,0,0,57,0,272,0,0,0,0,0,74,127,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
P87,25,0,4,513,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P88,0,0,1,61,0,15,0,49,0,0,0,0,0,0,0,0,0,40,29,160,172,0,0,0,0,0,0,0
P89,197,0,8,0,124,16,0,0,0,0,0,16,3,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0
P90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,4,0,0,0,0,0,0,0,1,0,0
P91,12,0,0,4,30,0,9,0,111,0,0,81,38,5,14,0,22,4,2,103,3,33,0,0,0,0,0,0
P92,6,8,0,0,0,0,2,0,14,0,0,0,0,0,270,0,108,42,0,14,0,0,0,0,0,0,0,0
P93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0
P94,14,3,26,81,8,3,14,1,1,12,3,18,17,186,15,0,6,0,6,33,0,0,0,0,0,0,0,0
P95,4,0,0,0,1,22,4,0,0,0,0,99,28,0,55,0,0,0,89,18,36,87,0,0,0,0,0,0
P96,0,0,3,0,0,0,0,0,0,0,0,388,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
P97,39,0,0,127,0,164,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
P98,0,0,0,0,356,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P99,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P100,4,2,13,39,2,1,1,0,4,1,219,3,5,24,6,1,3,5,1,35,0,0,0,0,0,0,0,0
P101,102,0,0,0,0,0,0,0,0,0,22,0,0,0,80,1,108,0,0,0,0,0,0,0,0,0,0,0
P102,4,0,2,9,1,2,3,0,124,0,2,42,48,66,0,0,0,1,0,0,0,9,0,0,0,0,0,0
P103,3,2,1,7,5,0,1,1,222,0,0,1,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P104,0,0,15,0,0,0,0,0,0,0,0,0,0,12,0,0,0,25,59,190,0,0,0,0,0,0,0,0
P105,0,0,3,42,0,0,1,9,0,0,0,232,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P106,0,0,23,0,0,0,217,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
